item_code,item_name,active_substance,ema_grade,mg_per_unit
26244,Alamycin LA NEW 100ml D,Alamycin LA,D,200
10022,Alamycin LA 100ml,Alamycin LA,D,200
20339,Alamycin LA 300 D,Alamycin 300,D,300
10023,Alamycin Spray,Alamycin Spray,D,35
14205,Amoxypen RTU 100ml,Amoxypen,D,150
16326,Apotil Inject 50ml,Apotil,C,300
20268,Baytril 10% Oral Solution,Baytril 10%,B,100
10063,Betamox 150 100ml,Betamox 150,D,150
10064,Betamox LA,Betamox LA,D,150
26188,Betamox LA 250ml D,Betamox LA,D,150
24373,Bimamix Oral Suspension 1 Litre,Bimamix Oral Suspension,C,175
26144,Bimoxyl LA 100ml D,Bimoxyl LA,D,150
10093,Bovocycline Pessaries - Per Tablet,Bovocycline Pessaries,D,2000
26155,Censulfatrim 100ml,Censulfatrim,D,240
26163,Censulfatrim 250ml D,Censulfatrim,D,240
21260,Ceporex 100ml,Ceporex,C,180
10162,Chloromed 1kg,Chloromed 1kg,D,150
13307,Clamoxyl 150 100ml D,Clamoxyl 150,D,150
25167,Clamoxyl LA 100ml,Clamoxyl LA,D,150
27002,Clamoxyl RTU 100ml D,Clamoxyl RTU,D,150
10191,Cobactan Inj 2.5% 100ml,Cobactan Inj 2.5%,B,25
10200,Combiclav Injection 100ml D,Combiclav,C,140
10218,Cyclo Spray 211ml,Cyclo Spray,D,25
10219,Cyclo Spray 422ml,Cyclo Spray,D,25
10260,Depocillin 100ml,Depocillin,D,300
26317,Diatrim 100ml,Diatrim,D,240
26149,Dofatrim Ject 100ml D,Dofatrim,D,240
26311,Draxxin 100ml D,Draxxin,C,100
26310,Draxxin 20ml,Draxxin,C,100
10270,Draxxin 50ml,Draxxin,C,100
26702,Draxxin PLUS 100ml,Draxxin PLUS,C,100
26325,Draxxin PLUS 50ml,Draxxin PLUS,C,100
25318,Duphatrim IS 100ml,Duphatrim,D,240
10296,Engemycin 10% 100ml,Engemycin 10%,D,100
10297,Engemycin 10% 250ml,Engemycin 10%,D,100
10299,Engemycin Spray 200ml,Engemycin Spray,D,100
26883,Enrobactin 2.5mg/ml 10ml,Enrobactin,B,2.5
21778,Fenflor 100ml,Fenflor,C,300
27118,Fenflor 250ml D,Fenflor,C,300
26136,Florkem 100ml,Florkem,C,300
10381,Framomycin Injection 15% 100ml,Framomycin Injection 15%,C,150
26454,Gentocin 200ml,Gentocin,D,1000
10444,Hexasol LA 100ml,Hexasol LA,D,300
10548,Lincocin Soluble Powder 150g,Lincocin Soluble Powder,C,400
13852,Lincospectin 100 Soluble Powder,Lincospectin 100 Soluble Powder,C,666.7
10562,Marbox 100ml,Marbox,B,100
10584,Metricure,Metricure,C,500
10586,Micotil 50ml,Micotil,C,300
21835,Naxcel Inj 100ml,Naxcel Inj,B,200
10641,Norfenicol 100ml D,Norflenicol,C,300
10644,Norocillin 100ml D,Norocillin,D,300
14397,Noroclav 100ml D,Noroclav,C,140
10647,Norodine 24 100ml D,Norodine 24,D,240
10666,Opticlox Eye Ointment,Opticlox Eye Ointment,D,835
10674,Orojet Lamb 210ml D,Orojet,C,140
26881,Parofor Crypto (Cattle) 500ml D,Parofor Crypto,C,140
26627,Parofor Crypto 125ml,Parofor Crypto,C,207.4
26329,Parofor Crypto 250ml,Parofor Crypto,C,207.4
10686,Parofor Powder 1kg,Parofor Powder,C,70
26491,Parofor Powder 250g,Parofor Powder 250g,C,66.7
10687,Pen & Strep 100ml,Pen & Strep,C,450
26899,Pentomycin 100ml D,Pentomycin,D,400
10689,Pharmasin 100ml,Pharmasin,C,200
26474,Pharmasin Soluble Granule 10g,Pharmasin Soluble Granule,C,1000
26339,Pharmasin Soluble Granule 110g,Pharmasin Soluble Granule,C,1000
22500,Readycef 100ml,Readycef,C,50
10748,Resflor 100ml D,Resflor,C,300
10749,Resflor 250ml,Resflor,C,300
10807,Spectam Scourhalt,Spectam Scourhalt,C,5000
10868,Synulox Bolus 500mg,Synulox Bolus,C,500
10867,Synulox Injection 100ml,Synulox Injection,C,140
10884,TAF Spray 150ml D,TAF Spray,C,28.5
10887,Terramycin Aerosol 150ml,Terramycin Aerosol,D,26.7
26514,Tetroxy Vet 100ml,Tetroxy Vet,D,200
21510,Tetroxy LA 100ml D SIC,Oxytetracycline Dihydrate,,200
26167,Tilmovet 25ml,Tilmovet,C,300
26150,Tilmovet 50ml,Tilmovet,C,300
26299,Trymox LA 100ml,Trymox LA,D,150
10922,Tylan 200 100ml,Tylan 200,C,200
10923,Tylan Soluble 100g,Tylan Soluble,C,1000
10929,Ultrapen LA 100ml,Ultrapen LA,D,300
26281,Utertab Pessaries (Tablet),Utertab Pessaries,D,1848
26157,Vetrimoxin LA 100ml D,Vetrimoxin LA,D,150
26416,Zactran 250ml D,Zactran,C,150
11008,Zactran 100ml,Zactran,C,150
23989,Zactran 50ml,Zactran,C,150
26098,Zeleris 100ml,Zeleris,C,400
26445,Zeleris 250ml D,Zeleris,C,400
27002,Clamoxyl RTU 100ml D,Clamoxyl RTU,D,150
27109,Parofor Crypto (Cattle) 1L,Parofor Crypto,C,140
